organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,Confirmed Mpox Cases,Mpox Deaths,Notified Mpox Cases
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W20,Week 20 2024-05-13 - 2024-05-19,2024W20,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W21,Week 21 2024-05-20 - 2024-05-26,2024W21,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W22,Week 22 2024-05-27 - 2024-06-02,2024W22,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W23,Week 23 2024-06-03 - 2024-06-09,2024W23,0,1,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W24,Week 24 2024-06-10 - 2024-06-16,2024W24,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W25,Week 25 2024-06-17 - 2024-06-23,2024W25,1,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W26,Week 26 2024-06-24 - 2024-06-30,2024W26,0,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W27,Week 27 2024-07-01 - 2024-07-07,2024W27,2,0,1
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W28,Week 28 2024-07-08 - 2024-07-14,2024W28,0,0,3
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W29,Week 29 2024-07-15 - 2024-07-21,2024W29,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W30,Week 30 2024-07-22 - 2024-07-28,2024W30,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W31,Week 31 2024-07-29 - 2024-08-04,2024W31,0,0,0
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W32,Week 32 2024-08-05 - 2024-08-11,2024W32,0,0,2
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W33,Week 33 2024-08-12 - 2024-08-18,2024W33,0,0,5
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W34,Week 34 2024-08-19 - 2024-08-25,2024W34,0,0,6
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W35,Week 35 2024-08-26 - 2024-09-01,2024W35,0,0,4
m9ZAsGBq2hG,Cameroon,COUNTRY_CMR,2024W36,Week 36 2024-09-02 - 2024-09-08,2024W36,1,0,5
